_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
150,Hastings Highlands M,LT,Eastern,"322,100","322,100","322,100","322,100","322,100","522,000","378,000","459,000","405,000","580,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,858","2,000","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Rent; CD
151,Havelock-Belmont-Methuen Tp,LT,Eastern,"325,900","325,900","325,900","325,900","325,900","585,000","486,000","531,000","558,000","650,000","540,000","590,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,990,"1,245","1,340","1,340","1,340",990,"1,245","1,518","1,730",Rent; CD,Rent; CD,Income; Base,Income; Base
152,Hawkesbury T,LT,Eastern,"250,300","250,300","234,000","207,000","250,300","315,000","297,000","234,000","207,000","350,000","330,000","260,000","230,000",Income; Base,Income; Base,Price; Base,Price; Base,651,762,"1,107","1,300","1,300",651,762,"1,107","2,142",Rent; Base,Rent; Base,Rent; Base,Income; Base
153,"Head, Clara and Maria Tp",LT,Eastern,"368,600","368,600","368,600","279,000","368,600","468,000","369,000","387,000","279,000","520,000","410,000","430,000","310,000",Income; CD,Income; CD,Income; CD,Price; CD,"1,281","1,140","1,312","1,592","1,930","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
154,Hearst T,ST,Northeastern,"279,000","198,000","207,000","315,000","376,400","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,410","1,580",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
155,Highlands East M,LT,Eastern,"287,100","287,100","287,100","287,100","287,100","549,000","414,000","477,000","504,000","610,000","460,000","530,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,533","1,600","1,600","1,600","1,281","1,533","1,762","2,142",Rent; Region,Rent; Region,Income; Base,Income; Base
156,Hilliard Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","341,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
157,Hilton Beach V,ST,Northeastern,"333,700","207,000","234,000","306,000","333,700","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Income; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
158,Hilton Tp,ST,Northeastern,"342,000","207,000","234,000","306,000","372,500","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
159,Hornepayne Tp,ST,Northeastern,"342,000","207,000","234,000","306,000","457,900","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
160,Horton Tp,LT,Eastern,"407,400","369,000","387,000","279,000","407,400","540,000","369,000","387,000","279,000","600,000","410,000","430,000","310,000",Income; Base,Price; CD,Price; CD,Price; CD,"1,281","1,140","1,312","1,592","1,990","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
161,Howick Tp,LT,Western,"372,500","372,500","372,500","372,500","372,500","612,000","450,000","459,000","495,000","680,000","500,000","510,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,804","1,744","2,420","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Rent; CD,Rent; Region
162,Hudson Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","407,400","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
163,Huntsville T,LT,Central,"384,200","384,200","384,200","384,200","384,200","837,000","522,000","558,000","594,000","930,000","580,000","620,000","660,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,012","1,514","1,597","1,690","1,690","1,012","1,514","1,597","2,418",Rent; CD,Rent; Base,Rent; Base,Income; Base
164,Huron East M,LT,Western,"360,900","360,900","360,000","360,900","360,900","522,000","450,000","360,000","495,000","580,000","500,000","400,000","550,000",Income; Base,Income; Base,Price; Base,Income; Base,"1,082","1,205","1,760","1,744","1,760","1,082","1,205","1,804","1,744",Rent; Region,Rent; CD,Income; Base,Rent; Region
165,Huron Shores M,ST,Northeastern,"322,100","207,000","234,000","306,000","322,100","324,000","207,000","234,000","306,000","360,000","230,000","260,000","340,000",Income; Base,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,390",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
166,Huron-Kinloss Tp,LT,Western,"434,600","434,600","434,600","434,600","434,600","720,000","459,000","531,000","549,000","800,000","510,000","590,000","610,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,254","1,510","1,510","1,510","1,082","1,254","1,783","1,828",Rent; Region,Rent; CD,Income; Base,Income; Base
167,Ignace Tp,ST,Northwestern,"153,000","243,000","349,200","306,000","349,200","153,000","243,000","351,000","306,000","170,000","270,000","390,000","340,000",Price; Base,Price; Region,Income; Base,Price; Region,950,"1,005","1,479","1,580","1,580",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Income; Base
168,Ingersoll T,LT,Western,"399,700","399,700","399,700","399,700","399,700","585,000","468,000","459,000","576,000","650,000","520,000","510,000","640,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,026","1,132","1,250","1,890","1,890","1,026","1,132","1,250","1,926",Rent; CD,Rent; Base,Rent; Base,Income; Base
169,Innisfil T,LT,Central,"461,800","461,800","461,800","461,800","461,800","900,000","639,000","810,000","540,000","1,000,000","710,000","900,000","600,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,810","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
170,Iroquois Falls T,ST,Northeastern,"234,000","198,000","207,000","315,000","360,900","234,000","198,000","207,000","315,000","260,000","220,000","230,000","350,000",Price; Base,Price; CD,Price; CD,Price; CD,859,"1,185","1,290","1,290","1,290",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Income; Base,Income; Base
171,James Tp,ST,Northeastern,"297,000","261,000","243,000","304,600","304,600","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Income; Base,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
172,Jocelyn Tp,ST,Northeastern,"342,000","207,000","234,000","306,000","349,200","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
173,Johnson Tp,ST,Northeastern,"314,300","207,000","234,000","306,000","314,300","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Income; Base,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
174,Joly Tp,ST,Northeastern,"337,600","261,000","337,600","337,600","337,600","720,000","261,000","612,000","675,000","800,000","290,000","680,000","750,000",Income; CD,Price; Region,Income; CD,Income; CD,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
175,Kapuskasing T,ST,Northeastern,"234,000","198,000","207,000","315,000","325,900","234,000","198,000","207,000","315,000","260,000","220,000","230,000","350,000",Price; Base,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,380","1,380",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Income; Base
176,Kawartha Lakes C,ST,Eastern,"376,400","376,400","376,400","376,400","376,400","720,000","441,000","567,000","576,000","800,000","490,000","630,000","640,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,311","1,561","1,680","1,680","1,281","1,311","1,561","2,142",Rent; Region,Rent; Base,Rent; Base,Income; Base
177,Kearney T,ST,Northeastern,"337,600","261,000","337,600","337,600","337,600","702,000","261,000","612,000","675,000","780,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
178,Kenora C,ST,Northwestern,"399,700","243,000","351,000","306,000","399,700","531,000","243,000","351,000","306,000","590,000","270,000","390,000","340,000",Income; Base,Price; Region,Price; CD,Price; Region,950,"1,005","1,479","1,820","1,820",950,"1,005","1,479","1,851",Rent; Region,Rent; Base,Rent; Region,Income; Base
179,Kerns Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","399,700","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
180,"Killaloe, Hagarty and Richards Tp",LT,Eastern,"322,100","322,100","322,100","279,000","322,100","432,000","369,000","387,000","279,000","480,000","410,000","430,000","310,000",Income; Base,Income; Base,Income; Base,Price; CD,880,880,880,880,880,"1,281","1,140","1,312","1,592",Income; Base,Income; Base,Income; Base,Income; Base
181,Killarney M,ST,Northeastern,"306,500","261,000","252,000","306,500","306,500","387,000","261,000","252,000","324,000","430,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Income; Base,879,"1,173","1,430","1,620","1,620",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
182,Kincardine M,LT,Western,"469,500","459,000","450,000","469,500","469,500","666,000","459,000","450,000","567,000","740,000","510,000","500,000","630,000",Income; Base,Price; CD,Price; Base,Income; Base,"1,082","1,254","1,767","1,820","1,820","1,082","1,254","1,767","1,828",Rent; Region,Rent; CD,Rent; Base,Income; Base
183,King Tp,LT,Central,"667,400","667,400","667,400","630,000","667,400","2,079,000","1,017,000","1,080,000","630,000","2,310,000","1,130,000","1,200,000","700,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,297","1,783","2,024","2,600","2,600","1,297","1,783","2,024","2,658",Rent; CD,Rent; CD,Rent; CD,Income; Base
184,Kingston C,ST,Eastern,"368,600","368,600","368,600","368,600","368,600","657,000","459,000","513,000","423,000","730,000","510,000","570,000","470,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,202","1,505","1,767","1,880","1,880","1,202","1,505","1,767","2,710",Rent; Base,Rent; Base,Rent; Base,Income; Base
185,Kingsville T,LT,Western,"426,800","426,800","426,800","426,800","426,800","648,000","567,000","549,000","468,000","720,000","630,000","610,000","520,000",Income; Base,Income; Base,Income; Base,Income; Base,942,"1,034","1,259","1,744","2,000",942,"1,034","1,259","1,744",Rent; CD,Rent; Base,Rent; Base,Rent; Region
186,Kirkland Lake T,ST,Northeastern,"216,000","261,000","243,000","308,500","308,500","216,000","261,000","243,000","324,000","240,000","290,000","270,000","360,000",Price; Base,Price; Region,Price; CD,Income; Base,879,"1,173","1,410","1,410","1,410",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
187,Kitchener C,LT,Western,"399,700","399,700","399,700","399,700","399,700","837,000","612,000","576,000","405,000","930,000","680,000","640,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,225","1,446","1,748","1,944","2,120","1,225","1,446","1,748","1,944",Rent; Base,Rent; Base,Rent; Base,Rent; Base
188,La Vallee Tp,ST,Northwestern,"270,000","243,000","324,000","306,000","423,000","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,660","1,660",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; CD
189,Laird Tp,ST,Northeastern,"369,000","207,000","234,000","306,000","446,200","369,000","207,000","234,000","306,000","410,000","230,000","260,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
190,Lake of Bays Tp,LT,Central,"419,100","419,100","419,100","419,100","419,100","1,314,000","522,000","873,000","1,629,000","1,460,000","580,000","970,000","1,810,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,012","1,347","1,560","2,180","2,180","1,012","1,347","1,560","2,418",Rent; CD,Rent; CD,Rent; CD,Income; Base
191,Lake of The Woods Tp,ST,Northwestern,"270,000","243,000","324,000","306,000","364,700","270,000","243,000","324,000","306,000","300,000","270,000","360,000","340,000",Price; CD,Price; Region,Price; Region,Price; Region,950,"1,163","1,479","1,660","1,660",950,"1,163","1,479","1,851",Rent; Region,Rent; Region,Rent; Region,Income; CD
192,Lakeshore M,LT,Western,"520,000","520,000","520,000","369,000","520,000","765,000","621,000","576,000","369,000","850,000","690,000","640,000","410,000",Income; Base,Income; Base,Income; Base,Price; CD,942,"1,192","1,454","1,744","2,050",942,"1,192","1,454","1,744",Rent; CD,Rent; CD,Rent; CD,Rent; Region
193,Lambton Shores M,LT,Western,"368,600","360,000","368,600","368,600","368,600","675,000","360,000","531,000","495,000","750,000","400,000","590,000","550,000",Income; Base,Price; CD,Income; Base,Income; Base,988,"1,249","1,473","1,580","1,580",988,"1,249","1,473","1,712",Rent; CD,Rent; CD,Rent; Base,Income; Base
194,Lanark Highlands Tp,LT,Eastern,"364,700","364,700","364,700","364,700","364,700","504,000","459,000","522,000","387,000","560,000","510,000","580,000","430,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,519","1,880","1,880","1,880","1,281","1,519","2,361","2,142",Rent; Region,Rent; CD,Income; Base,Income; Base
195,Larder Lake Tp,ST,Northeastern,"225,000","261,000","243,000","324,000","353,100","225,000","261,000","243,000","324,000","250,000","290,000","270,000","360,000",Price; Base,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
196,LaSalle T,LT,Western,"539,400","539,400","539,400","432,000","539,400","774,000","594,000","648,000","432,000","860,000","660,000","720,000","480,000",Income; Base,Income; Base,Income; Base,Price; Base,942,"1,192","1,454","1,744","2,290",942,"1,192","1,454","1,744",Rent; CD,Rent; CD,Rent; CD,Rent; Region
197,Latchford T,ST,Northeastern,"275,500","261,000","243,000","275,500","275,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Income; Base,Price; Region,Price; CD,Income; Base,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
198,Laurentian Hills T,LT,Eastern,"378,000","369,000","387,000","279,000","419,100","378,000","369,000","387,000","279,000","420,000","410,000","430,000","310,000",Price; Base,Price; CD,Price; CD,Price; CD,"1,281","1,140","1,312","1,592","2,150","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
199,Laurentian Valley Tp,LT,Eastern,"426,800","369,000","387,000","279,000","426,800","477,000","369,000","387,000","279,000","530,000","410,000","430,000","310,000",Income; Base,Price; CD,Price; CD,Price; CD,"1,281","1,140","1,312","1,592","1,870","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
200,Leamington M,LT,Western,"360,900","360,900","360,900","360,900","360,900","549,000","387,000","441,000","504,000","610,000","430,000","490,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,942,"1,053","1,396","1,576","1,900",942,"1,053","1,396","1,576",Rent; CD,Rent; Base,Rent; Base,Rent; Base
201,Leeds and the Thousand Islands Tp,LT,Eastern,"403,600","387,000","387,000","403,600","403,600","621,000","387,000","387,000","405,000","690,000","430,000","430,000","450,000",Income; Base,Price; CD,Price; CD,Income; Base,976,"1,175","1,322","1,247","2,140",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
202,Limerick Tp,LT,Eastern,"240,600","240,600","240,600","240,600","240,600","531,000","378,000","459,000","405,000","590,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,710","1,710","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; CD
203,Lincoln T,LT,Central,"465,600","465,600","465,600","423,000","465,600","936,000","594,000","630,000","423,000","1,040,000","660,000","700,000","470,000",Income; Base,Income; Base,Income; Base,Price; Base,"1,183","1,313",916,"1,643","2,390","1,183","1,313",916,"1,643",Rent; CD,Rent; CD,Rent; Base,Rent; CD
204,London C,ST,Western,"357,000","357,000","357,000","357,000","357,000","675,000","450,000","459,000","405,000","750,000","500,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,081","1,384","1,657","1,830","1,830","1,081","1,384","1,657","1,980",Rent; Base,Rent; Base,Rent; Base,Income; Base
205,Loyalist Tp,LT,Eastern,"419,100","419,100","419,100","405,000","419,100","594,000","468,000","468,000","405,000","660,000","520,000","520,000","450,000",Income; Base,Income; Base,Income; Base,Price; CD,955,"1,206","1,298","2,060","2,060",955,"1,206","1,298","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
206,Lucan Biddulph Tp,LT,Western,"465,600","441,000","465,600","423,000","465,600","639,000","441,000","468,000","423,000","710,000","490,000","520,000","470,000",Income; Base,Price; CD,Income; Base,Price; CD,"1,079","1,381","1,654","1,790","1,790","1,079","1,381","1,654","1,976",Rent; CD,Rent; CD,Rent; CD,Income; Base
207,Macdonald Meredith et al Tp,ST,Northeastern,"405,000","207,000","234,000","306,000","442,400","405,000","207,000","234,000","306,000","450,000","230,000","260,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
208,Machar Tp,ST,Northeastern,"294,900","261,000","294,900","294,900","294,900","576,000","261,000","612,000","675,000","640,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
209,Machin Tp,ST,Northwestern,"380,300","243,000","351,000","306,000","380,300","396,000","243,000","351,000","306,000","440,000","270,000","390,000","340,000",Income; Base,Price; Region,Price; CD,Price; Region,950,"1,005","1,479","1,851","1,940",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Rent; Region
210,Madawaska Valley Tp,LT,Eastern,"285,200","285,200","285,200","279,000","285,200","495,000","369,000","387,000","279,000","550,000","410,000","430,000","310,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,220","1,140","1,220","1,220","1,220","1,281","1,140","1,312","1,592",Income; Base,Rent; CD,Income; Base,Income; Base
211,Madoc Tp,LT,Eastern,"357,000","357,000","357,000","357,000","357,000","504,000","378,000","459,000","405,000","560,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,858","1,940","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Rent; CD
212,Magnetawan M,ST,Northeastern,"275,500","261,000","275,500","275,500","275,500","693,000","261,000","612,000","675,000","770,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,620","1,620",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
213,Malahide Tp,LT,Western,"430,700","430,700","430,700","430,700","430,700","774,000","450,000","513,000","513,000","860,000","500,000","570,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,959,"1,187","1,599","2,241","2,480",959,"1,187","1,599","2,241",Rent; CD,Rent; CD,Rent; CD,Rent; CD
214,Manitouwadge Tp,ST,Northwestern,"144,000","243,000","333,000","306,000","360,900","144,000","243,000","333,000","306,000","160,000","270,000","370,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,864","1,900",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Rent; CD
215,Mapleton Tp,LT,Western,"492,800","492,800","492,800","492,800","492,800","828,000","531,000","657,000","585,000","920,000","590,000","730,000","650,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,317","1,602","1,781","2,045","2,420","1,317","1,602","1,781","2,045",Rent; CD,Rent; CD,Rent; CD,Rent; CD
216,Marathon T,ST,Northwestern,"216,000","243,000","333,000","306,000","415,200","216,000","243,000","333,000","306,000","240,000","270,000","370,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,750","1,750",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; Base
217,Markham C,LT,Central,"492,800","492,800","492,800","492,800","492,800","1,566,000","1,098,000","990,000","657,000","1,740,000","1,220,000","1,100,000","730,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,297","1,885","1,996","1,969","2,480","1,297","1,885","1,996","1,969",Rent; CD,Rent; Base,Rent; Base,Rent; Base
218,Markstay-Warren M,ST,Northeastern,"384,200","261,000","252,000","324,000","384,200","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,390","1,390","1,390",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
219,Marmora and Lake M,LT,Eastern,"291,000","291,000","291,000","291,000","291,000","531,000","378,000","459,000","405,000","590,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,600","1,600","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; Base
220,Matachewan Tp,ST,Northeastern,"297,000","261,000","243,000","324,000","341,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
221,Mattawa T,ST,Northeastern,"246,800","246,800","246,800","246,800","246,800","279,000","333,000","306,000","333,000","310,000","370,000","340,000","370,000",Income; Base,Income; Base,Income; Base,Income; Base,807,"1,051","1,270","1,270","1,270",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Income; Base,Income; Base
222,Mattawan M,ST,Northeastern,"337,600","333,000","306,000","333,000","337,600","450,000","333,000","306,000","333,000","500,000","370,000","340,000","370,000",Income; CD,Price; CD,Price; CD,Price; CD,807,"1,051","1,367","1,570","1,570",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; CD
223,Mattice - Val Cote Tp,ST,Northeastern,"279,000","198,000","207,000","314,300","314,300","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Income; Base,859,"1,185","1,299","1,410","1,620",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
224,McDougall Tp,ST,Northeastern,"423,000","261,000","423,000","423,000","423,000","747,000","261,000","612,000","675,000","830,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,590","1,590",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
225,McGarry Tp,ST,Northeastern,"260,000","260,000","243,000","260,000","260,000","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Income; Base,Income; Base,Price; CD,Income; Base,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
226,McKellar Tp,ST,Northeastern,"325,900","261,000","325,900","325,900","325,900","936,000","261,000","612,000","675,000","1,040,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
227,McMurrich-Monteith Tp,ST,Northeastern,"285,200","261,000","285,200","285,200","285,200","576,000","261,000","612,000","675,000","640,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
228,McNab-Braeside Tp,LT,Eastern,"442,400","369,000","387,000","279,000","442,400","603,000","369,000","387,000","279,000","670,000","410,000","430,000","310,000",Income; Base,Price; CD,Price; CD,Price; CD,"1,281","1,140","1,312","1,592","2,140","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
229,Meaford M,LT,Western,"368,600","368,600","368,600","368,600","368,600","819,000","621,000","486,000","630,000","910,000","690,000","540,000","700,000",Income; Base,Income; Base,Income; Base,Income; Base,929,926,"1,231","1,350","1,580",929,926,"1,231","1,350",Rent; CD,Rent; Base,Rent; Base,Rent; CD
230,Melancthon Tp,LT,Western,"450,100","450,100","450,100","450,100","450,100","927,000","594,000","639,000","558,000","1,030,000","660,000","710,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,350","1,463","1,714","1,714","3,020","1,350","1,463","1,714","1,714",Rent; CD,Rent; CD,Rent; CD,Rent; CD
231,Merrickville-Wolford V,LT,Eastern,"423,000","387,000","387,000","405,000","423,000","558,000","387,000","387,000","405,000","620,000","430,000","430,000","450,000",Income; Base,Price; CD,Price; CD,Price; CD,976,"1,175","1,322","1,247","1,910",976,"1,175","1,322","1,247",Rent; CD,Rent; CD,Rent; CD,Rent; CD
232,Middlesex Centre M,LT,Western,"570,400","441,000","570,400","570,400","570,400","963,000","441,000","648,000","684,000","1,070,000","490,000","720,000","760,000",Income; Base,Price; CD,Income; Base,Income; Base,"1,079","1,381","1,654","1,976","2,270","1,079","1,381","1,654","1,976",Rent; CD,Rent; CD,Rent; CD,Rent; CD
233,Midland T,LT,Central,"318,200","318,200","318,200","318,200","318,200","612,000","459,000","549,000","540,000","680,000","510,000","610,000","600,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,286","1,576","1,620","1,620","1,003","1,286","1,576","1,833",Rent; CD,Rent; Base,Rent; Base,Income; Base
