_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
44,Brock Tp,LT,Central,"415,200","415,200","415,200","415,200","415,200","747,000","711,000","477,000","720,000","830,000","790,000","530,000","800,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,330","1,030","1,296","1,909","2,170","1,330","1,030","1,296","1,909",Rent; CD,Rent; Base,Rent; Base,Rent; CD
45,Brockton M,LT,Western,"395,800","395,800","395,800","395,800","395,800","603,000","459,000","549,000","504,000","670,000","510,000","610,000","560,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,254","1,600","1,600","1,600","1,082","1,254","1,783","1,828",Rent; Region,Rent; CD,Income; Base,Income; Base
46,Brockville C,ST,Eastern,"296,800","296,800","296,800","296,800","296,800","441,000","351,000","351,000","369,000","490,000","390,000","390,000","410,000",Income; Base,Income; Base,Income; Base,Income; Base,976,"1,087","1,313","1,247","1,540",976,"1,087","1,313","1,247",Rent; Base,Rent; Base,Rent; Base,Rent; Base
47,Brooke-Alvinston M,LT,Western,"368,600","360,000","342,000","368,600","368,600","567,000","360,000","342,000","405,000","630,000","400,000","380,000","450,000",Income; Base,Price; CD,Price; CD,Income; Base,988,"1,249","1,522","1,690","1,690",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Income; Base
48,Bruce Mines T,ST,Northeastern,"300,700","207,000","234,000","300,700","300,700","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Income; Base,Price; CD,Price; CD,Income; Base,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
49,"Brudenell, Lyndoch and Raglan Tp",LT,Eastern,"256,100","256,100","256,100","256,100","256,100","405,000","369,000","387,000","279,000","450,000","410,000","430,000","310,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,140","1,312","1,592","1,930","1,281","1,140","1,312","1,592",Rent; Region,Rent; CD,Rent; CD,Rent; CD
50,Burk's Falls V,ST,Northeastern,"289,100","261,000","289,100","289,100","289,100","720,000","261,000","612,000","675,000","800,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,400","1,400","1,400",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
51,Burlington C,LT,Central,"512,200","512,200","512,200","512,200","512,200","1,341,000","873,000","783,000","621,000","1,490,000","970,000","870,000","690,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,568","1,749","2,057","2,380","2,380","1,568","1,749","2,057","2,411",Rent; Base,Rent; Base,Rent; Base,Income; Base
52,Burpee and Mills Tp,ST,Northeastern,"306,500","261,000","252,000","306,500","306,500","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Income; Base,879,"1,173","1,430","1,643","1,760",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
53,Caledon T,LT,Central,"601,400","601,400","601,400","601,400","601,400","1,449,000","882,000","846,000","801,000","1,610,000","980,000","940,000","890,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,303","1,754","2,013","2,115","2,810","1,303","1,754","2,013","2,115",Rent; CD,Rent; CD,Rent; CD,Rent; CD
